Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 56.89      3.14     3.14        6   523.34   886.53  search_disk(int, unsigned long long, bool)
 28.80      4.73     1.59 65917646     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  9.96      5.28     0.55    11106     0.05     0.05  std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::pop_front()
  0.54      5.31     0.03   340284     0.00     0.00  std::array<std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >, 8ul>::operator[](unsigned long)
  0.36      5.33     0.02   121761     0.00     0.00  std::mutex::lock()
  0.18      5.34     0.01   366254     0.00     0.00  std::__array_traits<std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >, 8ul>::_S_ref(std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > > const (&) [8], unsigned long)
  0.18      5.35     0.01   302328     0.00     0.00  std::pair<unsigned char*, unsigned long long>&& std::forward<std::pair<unsigned char*, unsigned long long> >(std::remove_reference<std::pair<unsigned char*, unsigned long long> >::type&)
  0.18      5.36     0.01   185474     0.00     0.00  std::mutex::unlock()
  0.18      5.37     0.01   125091     0.00     0.00  std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*>::difference_type std::operator-<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*>(std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*> const&, std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*> const&)
  0.18      5.38     0.01   121099     0.00     0.00  std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*>::_Deque_iterator(std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*> const&)
  0.18      5.39     0.01   101342     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<unsigned char*, unsigned long long> > >::construct<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long> >(std::allocator<std::pair<unsigned char*, unsigned long long> >&, std::pair<unsigned char*, unsigned long long>*, std::pair<unsigned char*, unsigned long long>&&)
  0.18      5.40     0.01    99315     0.00     0.00  std::pair<unsigned char*, unsigned long long>::pair<unsigned char*&, unsigned long long, true>(unsigned char*&, unsigned long long&&)
  0.18      5.41     0.01    97926     0.00     0.00  std::remove_reference<std::pair<unsigned char*, unsigned long long>&>::type&& std::move<std::pair<unsigned char*, unsigned long long>&>(std::pair<unsigned char*, unsigned long long>&)
